name, shortname, tipo
"COSAN       ","CSAN","NM             "
"DOMMO","DMMO",
"ENAUTA PART","ENAT","NM             "
"PET MANGUINH","RPMG",
"PETROBRAS   ","PETR","N2"
"PETROBRAS BR","BRDT","NM             "
"PETRORIO","PRIO","NM             "
"ULTRAPAR    ","UGPA","NM             "
"Equipamentos e Serviços",,
"LUPATECH    ","LUPA","NM             "
"OSX BRASIL  ","OSXB","NM             "
"BRADESPAR   ","BRAP","N1             "
"LITEL       ","LTEL","MB             "
"LITELA","LTLA","MB             "
"MMX MINER   ","MMXM","NM             "
"VALE        ","VALE","NM             "
"FERBASA     ","FESA","N1             "
"GERDAU      ","GGBR","N1             "
"GERDAU MET  ","GOAU","N1             "
"SID NACIONAL","CSNA",
"USIMINAS    ","USIM","N1             "
"MANGELS INDL","MGEL",
"PANATLANTICA","PATI",
"TEKNO       ","TKNO",
"Artefatos de Cobre",,
"PARANAPANEMA","PMAM","NM             "
"BRASKEM     ","BRKM","N1             "
"ELEKEIROZ   ","ELEK",
"GPC PART    ","GPCP",
"FER HERINGER","FHER","NM             "
"NUTRIPLANT  ","NUTR","MA             "
"CRISTAL","CRPG",
"UNIPAR      ","UNIP",
"DURATEX     ","DTEX","NM             "
"EUCATEX     ","EUCA","N1             "
"IRANI ","RANI",
"KLABIN S/A  ","KLBN","N2"
"MELHOR SP   ","MSPA",
"SANTHER     ","STTZ",
"SUZANO HOLD ","NEMO",
"SUZANO S.A.","SUZB","NM             "
"METAL IGUACU","MTIG",
"SANSUY      ","SNSY",
"ETERNIT     ","ETER","NM             "
"HAGA S/A    ","HAGA",
"PORTOBELLO  ","PTBL","NM             "
"AZEVEDO     ","AZEV",
"SONDOTECNICA","SOND",
"TECNOSOLO   ","TCNO",
"MILLS       ","MILS","NM             "
"EMBRAER     ","EMBR","NM             "
"FRAS-LE     ","FRAS","N1             "
"MARCOPOLO   ","POMO","N2             "
"RANDON PART ","RAPT","N1             "
"RECRUSUL    ","RCSL",
"RIOSULENSE  ","RSUL",
"TUPY        ","TUPY","NM             "
"WETZEL S/A  ","MWET",
"SCHULZ      ","SHUL",
"WEG         ","WEGE","NM             "
"ACO ALTONA  ","EALT",
"BARDELLA    ","BDLL",
"INDS ROMI   ","ROMI","NM             "
"INEPAR      ","INEP",
"KEPLER WEBER","KEPL",
"METALFRIO   ","FRIO","NM             "
"NORDON MET  ","NORD",
"PRATICA","PTCA","M2"
"METISA      ","MTSA",
"STARA","STTR","MA"
"TAURUS ARMAS","TASA","N2             "
"AZUL","AZUL","N2             "
"GOL         ","GOLL","N2             "
"ALL NORTE   ","FRRN","MB             "
"ALL PAULISTA","GASC","MB             "
"COSAN LOG","RLOG","NM             "
"FER C ATLANT","VSPT",
"MRS LOGIST  ","MRSA","MB             "
"RUMO S.A.","RAIL","NM             "
"LOG-IN      ","LOGN","NM             "
"TREVISA     ","LUXM",
"JSL         ","JSLG","NM             "
"TEGMA       ","TGMA","NM             "
"AUTOBAN     ","ANHB",
"CCR SA      ","CCRO","NM             "
"CONC RAPOSO ","RPTA",
"CONC RIO TER","CRTE","MB             "
"ECON        ","ERDV",
"ECONORTE    ","ECNT",
"ECOPISTAS   ","ASCP",
"ECORODOVIAS ","ECOR","NM             "
"ECOVIAS     ","ECOV",
"ROD COLINAS ","COLN",
"ROD TIETE   ","RDVT",
"RT BANDEIRAS","CRBD",
"TRIANGULOSOL","TRIA",
"TRIUNFO PART","TPIS","NM             "
"VIAOESTE    ","VOES",
"GRUAIRPORT","AGRU","MB             "
"PORTO VM","PSVM",
"INVEPAR     ","IVPR","MB             "
"SALUS INFRA","SAIP",
"SANTOS BRP  ","STBP","N2             "
"WILSON SONS ","WSON","DR3"
"ATMASA","ATMP","NM             "
"BBMLOGISTICA","BBML","MA"
"CSU CARDSYST","CARD","NM             "
"DTCOM-DIRECT","DTCY",
"ESTAPAR","ALPK","NM             "
"FLEX S/A","FLEX","MA"
"PRINER","PRNR","MA"
"VALID       ","VLID","NM             "
"BATTISTELLA ","BTTL",
"MINASMAQUINA","MMAQ",
"WLM IND COM ","WLMM",
"ALIPERTI    ","APTI",
"BRASILAGRO  ","AGRO","NM             "
"POMIFRUTAS","FRTA","NM             "
"SLC AGRICOLA","SLCE","NM             "
"TERRA SANTA","TESA","NM             "
"BIOSEV","BSEV","NM             "
"RAIZEN ENERG","RESA",
"SAO MARTINHO","SMTO","NM             "
"BRF SA   ","BRFS","NM             "
"EXCELSIOR   ","BAUH",
"JBS         ","JBSS","NM             "
"MARFRIG     ","MRFG","NM             "
"MINERVA     ","BEEF","NM             "
"MINUPAR     ","MNPR",
"CAMIL","CAML","NM             "
"J.MACEDO    ","JMCD",
"JOSAPAR     ","JOPA",
"M.DIASBRANCO","MDIA","NM             "
"ODERICH     ","ODER",
"AMBEV S/A","ABEV",
"GRUPO NATURA      ","NTCO","NM             "
"BOMBRIL     ","BOBR",
"CARREFOUR BR","CRFB","NM             "
"P.ACUCAR-CBD","PCAR","N1             "
"CONST A LIND","CALI",
"CR2         ","CRDE","NM             "
"CYRELA REALT","CYRE","NM             "
"DIRECIONAL  ","DIRR","NM             "
"EVEN        ","EVEN","NM             "
"EZTEC       ","EZTC","NM             "
"GAFISA      ","GFSA","NM             "
"HELBOR      ","HBOR","NM             "
"INTER SA ","INNT","MA"
"JHSF PART   ","JHSF","NM             "
"JOAO FORTES ","JFEN",
"MITRE REALTY","MTRE","NM             "
"MOURA DUBEUX","MDNE","NM             "
"MRV         ","MRVE","NM             "
"PDG REALT   ","PDGR","NM             "
"RNI","RDNI","NM             "
"ROSSI RESID ","RSID","NM             "
"TECNISA     ","TCSA","NM             "
"TENDA","TEND","NM             "
"TRISUL      ","TRIS","NM             "
"VIVER       ","VIVR","NM             "
"CEDRO       ","CEDO","N1             "
"COTEMINAS   ","CTNM",
"DOHLER      ","DOHL",
"ENCORPAR    ","ECPR",
"IND CATAGUAS","CATA",
"KARSTEN     ","CTKA",
"PETTENATI   ","PTNT",
"SANTANENSE  ","CTSA",
"SPRINGS     ","SGPS","NM             "
"TEKA        ","TEKA",
"TEX RENAUX  ","TXRX",
"CIA HERING  ","HGTX","NM             "
"ALPARGATAS  ","ALPA","N1             "
"CAMBUCI     ","CAMB",
"GRENDENE    ","GRND","NM             "
"VULCABRAS   ","VULC","NM             "
"MUNDIAL     ","MNDL",
"TECHNOS     ","TECN","NM             "
"VIVARA S.A.","VIVA","NM             "
"WHIRLPOOL   ","WHRL",
"UNICASA","UCAS","NM             "
"HERCULES    ","HETA",
"IOCHP-MAXION","MYPK","NM             "
"METAL LEVE  ","LEVE","NM             "
"PLASCAR PART","PLAS",
"HOTEIS OTHON","HOOT",
"BK BRASIL","BKBR","NM             "
"IMC S/A","MEAL","NM             "
"BIC MONARK  ","BMKS",
"Brinquedos e Jogos",,
"ESTRELA     ","ESTR",
"SPTURIS     ","AHEB",
"TIME FOR FUN","SHOW","NM             "
"CVC BRASIL","CVCB","NM             "
"SMART FIT","SMFT","M2"
"ANIMA","ANIM","NM             "
"BAHEMA      ","BAHI","MA"
"COGNA ON","COGN","NM             "
"SER EDUCA","SEER","NM             "
"YDUQS PART","YDUQ","NM             "
"LOCALIZA    ","RENT","NM             "
"LOCAMERICA","LCAM","NM             "
"MAESTROLOC","MSRO","M2"
"MOVIDA","MOVI","NM             "
"UNIDAS      ","UNID",
"SMILES","SMLS","NM             "
"AREZZO CO   ","ARZZ","NM             "
"CEA MODAS","CEAB","NM             "
"GRAZZIOTIN  ","CGRA",
"GUARARAPES  ","GUAR",
"LE LIS BLANC","LLIS","NM             "
"LOJAS MARISA","AMAR","NM             "
"LOJAS RENNER","LREN","NM             "
"MAGAZ LUIZA ","MGLU","NM             "
"VIAVAREJO","VVAR","NM             "
"B2W DIGITAL","BTOW","NM             "
"CENTAURO","CNTO","NM             "
"LOJAS AMERIC","LAME","N1             "
"SARAIVA LIVR","SLED","N2             "
"BIOMM       ","BIOM","MA"
"BIOTOSCANA","GBIO","DR3"
"NORTCQUIMICA","NRTQ","MA"
"OUROFINO S/A","OFSA","NM             "
"ADVANCED-DH","ADHM",
"ALLIAR","AALR","NM             "
"DASA        ","DASA",
"FLEURY      ","FLRY","NM             "
"HAPVIDA","HAPV","NM             "
"IHPARDINI","PARD","NM             "
"INTERMEDICA","GNDI","NM             "
"ODONTOPREV  ","ODPV","NM             "
"QUALICORP   ","QUAL","NM             "
"BAUMER      ","BALM",
"LIFEMED","LMED","MA"
"DIMED       ","PNVL",
"HYPERA","HYPE","NM             "
"PROFARMA    ","PFRM","NM             "
"RAIADROGASIL    ","RADL","NM             "
"POSITIVO TEC","POSI","NM             "
"BRQ","BRQB","MA"
"LINX","LINX","NM             "
"LOCAWEB","LWSA","NM             "
"QUALITY SOFT","QUSW","MA"
"SINQIA","SQIA","NM             "
"TOTVS       ","TOTS","NM             "
"ALGAR TELEC","ALGT",
"OI","OIBR","N1"
"TELEBRAS    ","TELB",
"TELEF BRASIL","VIVT",
"TIM PART S/A","TIMP","NM             "
"CINESYSTEM","CNSY","MA"
"AES SUL     ","AESL",
"AES TIETE E","TIET","N2             "
"AFLUENTE T  ","AFLT",
"ALUPAR","ALUP","N2             "
"AMPLA ENERG ","CBEE",
"CACHOEIRA","CPTE","MB             "
"CEB         ","CEBR",
"CEEE-D      ","CEED","N1             "
"CEEE-GT     ","EEEL","N1             "
"CELESC      ","CLSC","N2             "
"CELGPAR     ","GPAR",
"CELPE       ","CEPE",
"CEMIG       ","CMIG","N1             "
"CEMIG DIST  ","CMGD",
"CEMIG GT    ","CMGT",
"CESP        ","CESP","N1             "
"COELBA      ","CEEB",
"COELCE      ","COCE",
"COPEL       ","CPLE","N1             "
"COSERN      ","CSRN",
"CPFL ENERGIA","CPFE","NM             "
"CPFL GERACAO","CPFG",
"CPFL PIRATIN","CPFP",
"CPFL RENOVAV","CPRE",
"EBE         ","EBEN",
"ELEKTRO     ","EKTR",
"ELETROBRAS  ","ELET","N1             "
"ELETROPAR   ","LIPR",
"EMAE        ","EMAE",
"ENERGIAS BR ","ENBR","NM             "
"ENERGISA    ","ENGI","N2             "
"ENERGISA MT","ENMT",
"ENERSUL     ","ENER",
"ENEVA","ENEV","NM             "
"ENGIE BRASIL","EGIE","NM             "
"EQTL PARA","EQPA",
"EQTLMARANHAO","EQMA","MB             "
"EQUATORIAL  ","EQTL","NM             "
"ESCELSA     ","ESCE",
"FGENERGIA","FGEN",
"GER PARANAP ","GEPA",
"ITAPEBI     ","ITPB",
"LIGHT       ","LIGH",
"LIGHT S/A   ","LIGT","NM             "
"NEOENERGIA  ","NEOE","NM             "
"OMEGA GER","OMGE","NM             "
"PAUL F LUZ  ","PALF",
"PROMAN      ","PRMN","MB             "
"REDE ENERGIA","REDE",
"RENOVA      ","RNEW","N2             "
"STATKRAFT","STKF",
"STO ANTONIO","STEN",
"TAESA       ","TAEE","N2             "
"TERMOPE     ","TMPE",
"TERM. PE III","TEPE",
"TRAN PAULIST","TRPL","N1             "
"UPTICK      ","UPKP","MB             "
"CASAN       ","CASN",
"COPASA      ","CSMG","NM             "
"IGUA SA  ","IGSN","MA"
"SABESP      ","SBSP","NM             "
"SANEPAR     ","SAPR","N2             "
"SANESALTO   ","SNST",
"CEG         ","CEGR",
"COMGAS      ","CGAS",
"ABC BRASIL  ","ABCB","N2             "
"ALFA HOLDING","RPAD",
"ALFA INVEST ","BRIV",
"AMAZONIA    ","BAZA",
"BANCO BMG","BMGB","N1             "
"BANCO INTER","BIDI","N2             "
"BANCO PAN","BPAN","N1             "
"BANESE      ","BGIP",
"BANESTES    ","BEES",
"BANPARA     ","BPAR",
"BANRISUL    ","BRSR","N1             "
"BRADESCO    ","BBDC","N1             "
"BRASIL      ","BBAS","NM             "
"BRB BANCO   ","BSLI",
"BTGP BANCO","BPAC",
"INDUSVAL    ","IDVL","N2             "
"ITAUSA      ","ITSA","N1             "
"ITAUUNIBANCO","ITUB","N1             "
"MERC BRASIL ","BMEB",
"MERC INVEST ","BMIN",
"NORD BRASIL ","BNBR",
"PARANA      ","PRBC",
"PINE        ","PINE","N2             "
"SANTANDER BR","SANB",
"ALFA FINANC ","CRIV",
"FINANSINOS  ","FNCN",
"MERC FINANC ","MERC",
"BRADESCO LSG","BDLS",
"BV LEASING  ","BVLS",
"DIBENS LSG  ","DBEN",
"BRAZIL REALT","BZRS",
"BRAZILIAN SC","BSCS",
"BRC SECURIT ","BRCS",
"BRPR 56 SEC","WTVR",
"CIBRASEC","CBSC",
"ECO SEC AGRO","ECOA","MB             "
"GAIA AGRO   ","GAFL",
"GAIA SECURIT","GAIA","MB             "
"OCTANTE SEC","OCTS",
"PDG SECURIT ","PDGS",
"POLO CAP SEC","PLSC",
"RBCAPITALRES","RBRA","MB             "
"TRUESEC","APCS",
"VERTCIASEC","VERT",
"WTORRE PIC  ","WTPI",
"BNDESPAR    ","BNDP","MB             "
"BRAZILIAN FR","BFRE",
"GP INVEST   ","GPIV","DR3"
"IDEIASNET   ","IDNT",
"PPLA","PPLA","DR3"
"B3 ","B3SA","NM             "
"CIELO       ","CIEL","NM             "
"ALFA CONSORC","BRGE",
"BBSEGURIDADE","BBSE","NM             "
"IRBBRASIL RE","IRBR","NM             "
"PORTO SEGURO","PSSA","NM             "
"SEG AL BAHIA","CSAB",
"SUL AMERICA ","SULA","N2             "
"ALPER S.A.","APER","NM             "
"WIZ S.A.","WIZS","NM             "
"ALIANSCSONAE","ALSO","NM             "
"BR MALLS PAR","BRML","NM             "
"BR PROPERT  ","BRPR","NM             "
"COR RIBEIRO ","CORR",
"CYRE COM-CCP","CCPR","NM             "
"GENERALSHOPP","GSHP","NM             "
"HABITASUL   ","HBTS",
"IGB S/A     ","IGBR",
"IGUATEMI    ","IGTA","NM             "
"JEREISSATI  ","JPSA",
"LOG COM PROP","LOGG","NM             "
"MENEZES CORT","MNZC","MB             "
"MULTIPLAN   ","MULT","N2             "
"SAO CARLOS  ","SCAR","NM             "
"BR BROKERS  ","BBRK","NM             "
"LOPES BRASIL","LPSB","NM             "
"MONT ARANHA ","MOAR",
"PAR AL BAHIA","PEAB",
"SPRINGER    ","SPRI",
"CEPAC - CTBA","CTBA","MB             "
"CEPAC - MCRJ","MCRJ","MB             "
"CEPAC - PMSP","PMSP","MB             "
"524 PARTICIP","QVQP","MB             "
"ALEF S/A    ","ALEF","MB             "
"ATOMPAR","ATOM",
"BETAPART    ","BETP","MB             "
"CABINDA PART","CABI","MB             "
"CACONDE PART","CACO","MB             "
"CAPITALPART ","CPTP","MB             "
"CEMEPE      ","MAPT",
"CIMS        ","CMSA",
"GAMA PART   ","OPGM","MB             "
"INVEST BEMGE","FIGE",
"J B DUARTE  ","JBDU",
"LONGDIS     ","SPRT","MB             "
"MGI PARTICIP","MGIP",
"OPPORT ENERG","OPHE","MB             "
"POLPAR      ","PPAR",
"PROMPT PART ","PRPT","MB             "
"SELECTPART  ","SLCT","MB             "
"SUDESTE S/A ","OPSE","MB             "
"SUL 116 PART","OPTS","MB             "
